Date,US Muni,US Tbill 1-3yr,US AGG,Global AGG,US Dollar,Commodities,Long Short HF,Event Driven HF,HF FOF Div,Relative Value HF,EM Bond,TIPs,High Yield,MSCI World,MSCI Canada,MSCI EAFE,MSCI EM Equity,MSCI Europe,MSCI Japan,MSCI Asia ex-J,US Growth,US Value,US Small Cap,US Mid Cap,Gold,S&P500
2004-01-30,0.0037823166755472926,0.001375904781857784,0.007313996312482418,0.003001583653811535,-0.02132407767763811,0.017400096082160532,0.01876869576701301,0.02725869218374455,0.014648713775952338,0.011378693207286794,0.004395448596946405,0.011594775617093545,0.015421701639946939,0.015314574604357256,0.009736672472196561,0.013409359912432972,0.03419006473639841,0.010959784280012208,0.01736100820664066,0.05942438560949692,0.01969102588782823,0.016852417908088224,0.04271459284340495,0.028319170331989607,-0.032022676793358906,0.017623666069333188
2004-02-27,0.013751392136211349,0.004295384955889103,0.010093370373989607,0.004421443550161053,0.004875622222384468,0.06415123806923684,0.010369227297138961,0.01128923126163528,0.010179211309442326,0.00476923614558622,0.0027517104869549946,0.0240446035857802,-0.0018273626052117686,0.01601449913701991,0.020913695388629527,0.022353585260266096,0.04512634316820696,0.028558539330028054,-0.003667677281433246,0.03278845398194252,0.005622517960589768,0.020701028154304968,0.00823355997447961,0.020803628134907992,-0.01638489009702615,0.013168672255641667
2004-03-31,-0.0055675817304233766,0.0024238507276796994,0.006697895686958555,0.010285432853816001,0.017425100079945022,0.030086344348127847,0.00279890657675419,-0.00021109138637442904,0.0036489307611842214,0.003538898284015435,0.02416771985384636,0.01659908226899831,0.005880290735831295,-0.007426705283050672,-0.005721287492949312,0.004835642811666041,0.011706799964813941,-0.03195483682189115,0.13348140607037595,-0.017872199773875108,-0.01934128151356984,-0.009543169903389881,0.008528574173735093,-0.0005821288148744053,0.07569508838028827,-0.015877323716386393
2004-04-30,-0.021667329532405133,-0.010862188641770687,-0.02680708142044652,-0.03735450211028124,0.010616417852783444,-0.018527014074190218,-0.02157046322430467,-0.006410456723138003,-0.007880467112945766,-0.005850464517780263,-0.05510148871555287,-0.04728652905494013,-0.007391773097155552,-0.021271933737048165,-0.084179776045471,-0.02341140678124476,-0.08267110563549662,-0.009084657855966238,-0.055007410857236705,-0.05575930233184867,-0.012415759188446174,-0.025230072266578696,-0.051774869558394276,-0.037507914320540015,-0.09388461513947999,-0.016488894045614044
2004-05-31,-0.0030540031433918813,-0.0019203074844706958,-0.004795712096681948,0.004110519748182995,0.01617831260554925,0.01616489495970752,-0.0026998383461314113,-0.003909842245082618,-0.009569858469280046,-0.004239835223894595,-0.015617514926007159,0.01565389497132519,-0.016501350180240903,0.008321164781367019,0.02573916557281164,0.002572669290378693,-0.020740140189990486,0.01545055193107836,-0.0359025374202665,-0.034376602133741274,0.017849006760697117,0.009408502799055585,0.01512644430472343,0.024023169211633277,0.021963875447219117,0.012933057343545995
2004-06-30,0.0027050521605846978,-0.0007706858537888106,0.004983778551791884,0.0022547660748637455,-0.016464871741823428,-0.042130066964447654,0.009982195497494795,0.016912191454688363,0.0029322126941291327,0.0009422011703348332,0.014015948858193239,-0.003282615120003718,0.013859612846697011,0.019861011923731686,0.041691163507324935,0.02124244907368178,0.0035915200304670325,0.012707913287915096,0.053187214787218995,-0.00969595067219342,0.011827950615772131,0.02296039808957273,0.04144559917092838,0.02699457103020353,-0.003954362916390952,0.018777137078098916
2004-07-30,0.010577925289780854,0.002682130000526861,0.008941557913072717,-0.0011781798819308076,-0.013632577760640086,0.016696123815782338,-0.01979069726790217,-0.01028070101389944,-0.0066206956620291635,0.005549289454950257,0.028731556816352644,0.015163856067274217,0.012505735997663026,-0.033620600607162876,-0.00018340057140209254,-0.033424230251819176,-0.019276180925355324,-0.0284900851900316,-0.060251018720313465,-0.021710209759088328,-0.05750285854096704,-0.01505736958592474,-0.06830388455194303,-0.04469376983621132,-0.009087374317098718,-0.034067635061120316
2004-08-31,0.017010574592232652,0.006034306724997274,0.0179841988983529,0.020796291787401167,0.0018283027677206132,-0.019316929602243516,-0.004760975638038123,0.0038190271349394234,-0.001180981673582826,0.007159039874206963,0.04019213911725705,0.024885536449336332,0.017080982053019333,0.0033042442244795023,-0.000906974423449558,0.0033251341537174905,0.04037851870261333,-0.0004876027328355459,0.006152647342436923,0.04712690056567759,-0.006029323617081639,0.0131304051647132,-0.006230320247857191,0.0032386915070519162,0.046984718434695205,0.0029539663946180905
2004-09-30,0.0025437450576621945,-0.0020252473410646843,0.0015026260154773485,0.010606216073008712,-0.006417335186632012,0.06725557771295998,0.018659132078964413,0.012439125153430153,0.007029126299100241,0.0023491123895005295,0.015423738494894979,0.00036362397053224527,0.012720679205927565,0.017706670268862856,0.07442757524776433,0.0249247949913749,0.05648396871184991,0.03889408828321406,-0.0246689940970527,0.037233641546887686,0.008300024616806123,0.014290545802411403,0.04573468529750602,0.031251419198063735,0.019284429514357493,0.009619717067304467
2004-10-29,0.005537845992817481,0.001948860879428027,0.0071763350311968566,0.02274454817881555,-0.024052471989605473,0.01571304149892283,0.0035405834433874794,0.01368059282579237,0.0065705861875102745,0.0019005898578963176,0.014887504171769317,0.012990945432744594,0.01807079645192311,0.023261012327501218,0.06169001436887478,0.03289029936307397,0.022683502281783507,0.03488624656887174,0.02490327972614237,0.005318474505849213,0.01438692772570116,0.015414388511570287,0.01847458312588679,0.02636827942975395,0.023417010401895144,0.014067862751139026
2004-11-30,-0.010031418445991092,-0.006517866488013446,-0.00936555091163327,0.025107838143664685,-0.040288114835699496,-0.013367585274194904,0.0323108636647651,0.03894085853986029,0.02500084998076768,0.009280866073351657,0.005600897018501305,-0.008448672749768238,0.009014899653476682,0.051142104207465344,0.03931748384373823,0.06692410412230676,0.09118364233962728,0.07197137110994833,0.0468722760743554,0.08731352722137897,0.03300928325792585,0.04916882057229999,0.085349339526829,0.05954054778624385,0.05088013958588844,0.039072426705726304
2004-12-31,0.007786098901935157,0.00021369594738707143,0.007271085981349401,0.013391897319240842,-0.012636787828281593,-0.051036140784818995,0.015679966741297013,0.02605996437908442,0.013119963581390115,0.005529970004411133,0.023111320975530925,0.011838117281233407,0.013151399532242314,0.03624307496631696,0.016496077456678915,0.04193255519153127,0.04609801144119885,0.040417184621559965,0.04935990345207486,0.028756364761687525,0.037278449233875355,0.03155647515667592,0.027669646571202744,0.04063648810547105,-0.029649295529568853,0.0320986262413534
2005-01-31,0.003564428945440401,-0.0020929849866817563,0.004593945281252232,-0.012209792384055396,0.0099995185692634,0.008748602317116827,-0.007505529836119185,-0.0031655246004930193,-0.001515516673176398,0.0013244627299908718,0.004580095971963516,0.003722125376559582,-0.0027044895508827604,-0.02419989705353387,-0.04148865216991693,-0.02003264063324728,0.0008542037316385809,-0.020219930315630186,-0.02490786089840369,0.004663614762402846,-0.03503403138867123,-0.0194361763460833,-0.04340892062343282,-0.0264370516117709,-0.03783560265834773,-0.026060538258254384
2005-02-28,-0.006256355758839871,-0.004068331403005332,-0.007525793582091045,0.00028096974613012193,0.007717499365938574,0.06902236363377012,0.019657404690753832,0.012227397992621292,0.012567412469154826,0.006207401414567659,0.005044280163019277,-0.008794020784931411,0.012661385466264496,0.03005542686656537,0.06245225563786461,0.04158673639570609,0.0856255387470819,0.04840238443421452,0.018981108815234515,0.05447498086766012,0.009019908626703321,0.031519424044733624,0.015315844924540745,0.02926200813716151,0.029257668872183062,0.019421623648806507
2005-03-31,-0.009326103016811582,-0.0023310321412329804,-0.007415963531595016,-0.014378091072669297,-0.01366701562375816,0.033371949987659466,-0.012809960835238998,-0.004259952376584164,-0.007439968071117908,-0.005779947081578696,-0.02773995252655659,-0.0067177052581218755,-0.029592867902504927,-0.02169139786797225,0.01156677094707348,-0.027402051207596867,-0.06836702695453056,-0.027461502544740113,-0.022971855480529157,-0.048252669781214896,-0.02049929848046239,-0.01600166285581872,-0.03090671016878066,-0.010140450327180917,-0.01903652504248221,-0.01998800474702367
2005-04-29,0.012183031953212131,0.003608254113562248,0.01131905388078791,0.010871820235458074,0.014388367531620316,-0.06056103193687001,-0.024534901059838132,-0.019274900659240868,-0.017344898813006937,-0.010654905562474726,0.013556347007857239,0.02306892232668134,-0.012942607896652358,-0.0240041659367094,-0.056554583368676026,-0.025725358598340797,-0.02905969502509631,-0.0275613485659556,-0.02794406290538276,-0.015398059487663929,-0.0212582825341866,-0.020125473219099077,-0.059483830606394394,-0.034079541274120606,0.011885712936119619,-0.021180915460803917
2005-05-31,0.0026542587302755827,0.0014196458688966462,0.008429546214361539,-0.01578657817173823,0.01171088783692431,-0.01015166056980743,0.013130801949602589,0.009610802897754622,-0.00021920961260168959,-0.0034292048322231983,0.027527486892796826,0.004529727398419725,0.015513742742876868,0.015377800422699428,0.019411575013338567,-0.0019058439558445883,0.03241854905073338,0.0011597546441408646,-0.011499928192497122,0.025917367661379975,0.04599328348560672,0.02168370716772583,0.0630620164492528,0.04552445750565215,-0.04184683105243503,0.029429796692722388
2005-06-30,0.003082887456564265,-0.0003924295860904259,0.0031885769811255127,-0.006748920093254562,0.015950668672390478,0.014569087291557148,0.017335661317772866,0.010985663480798546,0.010775670219110411,0.007325679173385113,0.015507454927406794,0.0013918722664509886,0.016766724473286754,0.0063888520551147465,0.05832744945793844,0.01100515354646503,0.03171092714884072,0.011509439969910051,-0.003257794912538192,0.025668414377154836,-0.005950821375066417,0.008684010216486904,0.036306326910771736,0.024622971529738358,0.04147443489732905,-0.0008449417514202473
