window_end,factor,beta,t,portfolio
2006-12-29,HF FOF Div,0.05918887378238598,0.7832890400024869,Asset 1
2006-12-29,MSCI Canada,-0.002353701218284074,-0.12006713894852465,Asset 1
2006-12-29,EM Bond,0.13726508786727795,2.548117853159151,Asset 1
2006-12-29,High Yield,-0.030629958454454875,-0.4044358041149027,Asset 1
2006-12-29,MSCI Japan,-0.005456460878867285,-0.2988642459964538,Asset 1
2006-12-29,Commodities,-0.005863814098431847,-0.3932278358062266,Asset 1
2006-12-29,US Dollar,-0.007541916482817582,-0.2021889143407804,Asset 1
2006-12-29,TIPs,0.060913242255206536,0.6260256938369223,Asset 1
2006-12-29,Global AGG,0.08388316869053118,1.1530238480169956,Asset 1
2006-12-29,US Tbill 1-3yr,0.782067342146923,2.216620082660968,Asset 1
2006-12-29,US Muni,0.1426628566136049,0.8373091086541485,Asset 1
2006-12-29,Gold,-0.03132508359802986,-1.936163867173264,Asset 1
2007-01-31,HF FOF Div,0.06363147490517261,0.8190366964947474,Asset 1
2007-01-31,MSCI Canada,-0.0032946103277273274,-0.16477742548617932,Asset 1
2007-01-31,EM Bond,0.1333556845655997,2.4931059128011586,Asset 1
2007-01-31,High Yield,-0.02256759646570788,-0.3052836106211346,Asset 1
2007-01-31,MSCI Japan,-0.0063992334945173635,-0.35423978760184255,Asset 1
2007-01-31,Commodities,-0.006726525556678378,-0.4571692249429511,Asset 1
2007-01-31,US Dollar,-0.008147627115656248,-0.2055981007268633,Asset 1
2007-01-31,TIPs,0.07474034435403315,0.7975013044977453,Asset 1
2007-01-31,Global AGG,0.07544897796194978,1.065126668118792,Asset 1
2007-01-31,US Tbill 1-3yr,0.7734007536219886,2.192780181016971,Asset 1
2007-01-31,US Muni,0.1318036649764223,0.7812237448273109,Asset 1
2007-01-31,Gold,-0.02968433978747806,-1.9211710812125053,Asset 1
2007-02-28,HF FOF Div,0.09204435061895556,1.0934345502240381,Asset 1
2007-02-28,MSCI Canada,-0.006378879237383239,-0.32221308326411996,Asset 1
2007-02-28,EM Bond,0.11820528754019126,2.126089063579196,Asset 1
2007-02-28,High Yield,-0.03163837059515577,-0.4319851830570102,Asset 1
2007-02-28,MSCI Japan,-0.005469366738127859,-0.30886252629005695,Asset 1
2007-02-28,Commodities,-0.003431722046541316,-0.22961696992178854,Asset 1
2007-02-28,US Dollar,-0.004907631388039052,-0.12504038296783695,Asset 1
2007-02-28,TIPs,0.08313984648632365,0.8944562068717413,Asset 1
2007-02-28,Global AGG,0.07029231881894399,1.0031096640021204,Asset 1
2007-02-28,US Tbill 1-3yr,0.762035223737729,2.202684660424655,Asset 1
2007-02-28,US Muni,0.1824794133632413,1.0274869888602307,Asset 1
2007-02-28,Gold,-0.03275198533330656,-2.0899713660303463,Asset 1
2007-03-30,HF FOF Div,0.06883776113277935,0.7713090914625363,Asset 1
2007-03-30,MSCI Canada,-0.007328094937809051,-0.3494052439791804,Asset 1
2007-03-30,EM Bond,0.10221527710591628,1.8404532611541853,Asset 1
2007-03-30,High Yield,-0.012817224503405113,-0.16858639226212369,Asset 1
2007-03-30,MSCI Japan,0.0019196145348631401,0.10134873486311183,Asset 1
2007-03-30,Commodities,-0.0018564308793448283,-0.120778267596651,Asset 1
2007-03-30,US Dollar,0.0028653525487573575,0.07134091278323137,Asset 1
2007-03-30,TIPs,0.08145133367184157,0.8490040911559616,Asset 1
2007-03-30,Global AGG,0.06880424419058782,0.9492020318704298,Asset 1
2007-03-30,US Tbill 1-3yr,0.6406461675353419,1.9278881262366265,Asset 1
2007-03-30,US Muni,0.25513674468810255,1.3272613495895125,Asset 1
2007-03-30,Gold,-0.030093883065872972,-1.9066142504486403,Asset 1
2007-04-30,HF FOF Div,0.06447304861050264,0.7659190780682136,Asset 1
2007-04-30,MSCI Canada,-0.0004369902841754697,-0.02105612624742069,Asset 1
2007-04-30,EM Bond,0.12120003776787433,2.1831482550254995,Asset 1
2007-04-30,High Yield,-0.029922396767434675,-0.40121922328563897,Asset 1
2007-04-30,MSCI Japan,-0.00018773765879599407,-0.010997333267598988,Asset 1
2007-04-30,Commodities,-0.006189137483502173,-0.41658726522368367,Asset 1
2007-04-30,US Dollar,-0.0013854510138630112,-0.03649846594631935,Asset 1
2007-04-30,TIPs,0.08482078619579676,0.9313777333474759,Asset 1
2007-04-30,Global AGG,0.06942844312378622,1.0025775607097058,Asset 1
2007-04-30,US Tbill 1-3yr,0.7237727864719324,2.219022575586534,Asset 1
2007-04-30,US Muni,0.22408337938858847,1.20850999862903,Asset 1
2007-04-30,Gold,-0.026376733860496805,-1.7017227702626048,Asset 1
2007-05-31,HF FOF Div,0.05187567187316678,0.6087292745226333,Asset 1
2007-05-31,MSCI Canada,-0.005510811039462626,-0.25949156806867835,Asset 1
2007-05-31,EM Bond,0.12705414391307987,2.203157265497068,Asset 1
2007-05-31,High Yield,-0.02130050671799523,-0.28256187522098647,Asset 1
2007-05-31,MSCI Japan,0.001150435673243846,0.06623962533015025,Asset 1
2007-05-31,Commodities,-0.004635103274153749,-0.3000446762446935,Asset 1
2007-05-31,US Dollar,0.0052199579874640445,0.12274359469580672,Asset 1
2007-05-31,TIPs,0.09819993841715875,1.0017651149631825,Asset 1
2007-05-31,Global AGG,0.08136759380707526,1.150647242287328,Asset 1
2007-05-31,US Tbill 1-3yr,0.7137040034418581,2.082731240051117,Asset 1
2007-05-31,US Muni,0.18289295966854072,0.9925151430689646,Asset 1
2007-05-31,Gold,-0.02372108854745142,-1.526702333834029,Asset 1
2007-06-29,HF FOF Div,0.13701443018344447,1.7621218599933286,Asset 1
2007-06-29,MSCI Canada,-0.028920131125823315,-1.5338233305215774,Asset 1
2007-06-29,EM Bond,0.14414052779264552,2.944388565978544,Asset 1
2007-06-29,High Yield,-0.02225034071562505,-0.3678884209867602,Asset 1
2007-06-29,MSCI Japan,-0.017241100079529788,-1.0830454975818549,Asset 1
2007-06-29,Commodities,0.0103318156529304,0.7680101098440806,Asset 1
2007-06-29,US Dollar,0.007047453495010742,0.19549407637950192,Asset 1
2007-06-29,TIPs,0.16274796587616858,1.9554652580754275,Asset 1
2007-06-29,Global AGG,0.059557151133973474,1.0032897117045023,Asset 1
2007-06-29,US Tbill 1-3yr,0.495699522772732,1.8369778985527137,Asset 1
2007-06-29,US Muni,0.1812349785503797,1.160964453018161,Asset 1
2007-06-29,Gold,-0.01876511819020086,-1.4487439833867715,Asset 1
2007-07-31,HF FOF Div,0.12734567911253045,1.733705164272473,Asset 1
2007-07-31,MSCI Canada,-0.03537304446136866,-1.829825272762593,Asset 1
2007-07-31,EM Bond,0.16085332876327116,3.215855636984609,Asset 1
2007-07-31,High Yield,0.019790521195440322,0.399678685359244,Asset 1
2007-07-31,MSCI Japan,-0.023105749001169167,-1.3643500924200633,Asset 1
2007-07-31,Commodities,0.014207188393400901,1.0372632809317666,Asset 1
2007-07-31,US Dollar,-0.021850289836065444,-0.5341191371371454,Asset 1
2007-07-31,TIPs,0.18464798272180016,2.2435524373866076,Asset 1
2007-07-31,Global AGG,0.007592002368320274,0.11682072131020632,Asset 1
2007-07-31,US Tbill 1-3yr,0.445903769422818,1.7063153204467065,Asset 1
2007-07-31,US Muni,0.17613064404106696,1.1475828662644743,Asset 1
2007-07-31,Gold,-0.013447563536662717,-1.0384622841404911,Asset 1
2007-08-31,HF FOF Div,0.06436744649829478,1.0694818704699933,Asset 1
2007-08-31,MSCI Canada,-0.026457370497274906,-1.44276220617617,Asset 1
2007-08-31,EM Bond,0.1804135275444555,3.5522727781672416,Asset 1
2007-08-31,High Yield,0.0353586586430858,0.7173743539752684,Asset 1
2007-08-31,MSCI Japan,-0.021206914014786325,-1.2328712870806326,Asset 1
2007-08-31,Commodities,0.007534378844304039,0.5690422678997562,Asset 1
2007-08-31,US Dollar,-0.020255135075159,-0.4849974171243701,Asset 1
2007-08-31,TIPs,0.15996726792569826,1.9052640761331399,Asset 1
2007-08-31,Global AGG,0.02376612921643492,0.36410685947876675,Asset 1
2007-08-31,US Tbill 1-3yr,0.6536076070695325,2.820981022272511,Asset 1
2007-08-31,US Muni,0.07766303254934652,0.5842141818592873,Asset 1
2007-08-31,Gold,-0.008700743499621442,-0.6502629430719701,Asset 1
2007-09-28,HF FOF Div,0.058824267641832594,0.9612639196833366,Asset 1
2007-09-28,MSCI Canada,-0.023359424376966077,-1.2284896064617787,Asset 1
2007-09-28,EM Bond,0.18406537886687943,3.566568902649297,Asset 1
2007-09-28,High Yield,0.024519779920930934,0.48440829963277543,Asset 1
2007-09-28,MSCI Japan,-0.02199098828717433,-1.2537436498592374,Asset 1
2007-09-28,Commodities,0.007727137428802113,0.576476365568196,Asset 1
2007-09-28,US Dollar,-0.00448637737548918,-0.10744691490656345,Asset 1
2007-09-28,TIPs,0.16705118022588503,2.0032011890464254,Asset 1
2007-09-28,Global AGG,0.04664737411143394,0.6927931575375862,Asset 1
2007-09-28,US Tbill 1-3yr,0.5586857265472458,2.4060897540279202,Asset 1
2007-09-28,US Muni,0.06467679072349272,0.4911054808989074,Asset 1
2007-09-28,Gold,-0.01343385501996647,-1.0236509765313835,Asset 1
2007-10-31,HF FOF Div,0.07226565862204165,1.2787190276018363,Asset 1
2007-10-31,MSCI Canada,-0.025190652981064293,-1.2930869392961541,Asset 1
2007-10-31,EM Bond,0.19216154253994225,3.8372662720901065,Asset 1
2007-10-31,High Yield,0.018674234251872642,0.36983047647844647,Asset 1
2007-10-31,MSCI Japan,-0.026243064292796794,-1.7368419739152847,Asset 1
2007-10-31,Commodities,0.0079144055023717,0.5877565911734389,Asset 1
2007-10-31,US Dollar,-0.009100891319889642,-0.22642027905118622,Asset 1
2007-10-31,TIPs,0.17148257511625348,2.0938161932861172,Asset 1
2007-10-31,Global AGG,0.03832070614144892,0.577440499982158,Asset 1
2007-10-31,US Tbill 1-3yr,0.571366595819317,2.464303921278952,Asset 1
2007-10-31,US Muni,0.05331544775411923,0.41378924688871666,Asset 1
2007-10-31,Gold,-0.011914548564882822,-0.9217195338050089,Asset 1
2007-11-30,HF FOF Div,0.054707528621048225,1.0434106390322433,Asset 1
2007-11-30,MSCI Canada,-0.017075612905356176,-1.007577374630871,Asset 1
2007-11-30,EM Bond,0.19029975380616043,3.673560202896103,Asset 1
2007-11-30,High Yield,0.009345932130024891,0.18988109164691613,Asset 1
2007-11-30,MSCI Japan,-0.026575995886631294,-1.7338918649956716,Asset 1
2007-11-30,Commodities,0.007693472609010354,0.5514695212974888,Asset 1
2007-11-30,US Dollar,0.0030596994985071626,0.08255740716929678,Asset 1
2007-11-30,TIPs,0.14938097282437068,1.8914804601495119,Asset 1
2007-11-30,Global AGG,0.048332298472696336,0.6830089108299233,Asset 1
2007-11-30,US Tbill 1-3yr,0.5110975603931251,2.314438558297085,Asset 1
