alpha,beta,t_alpha,t_beta,p_beta,rsq,adj_rsq,n,portfolio,factor
0.001619330741550914,0.4144337483563326,2.717600494003907,7.300411747313603,3.638118939687512e-11,0.3111339905553636,0.30529614301769725,120,Asset 1,US Muni
0.001343732601690956,1.397826336013529,2.5966823482515995,10.49885549503055,1.3086594212112053e-18,0.4829685609251966,0.4785869385601559,120,Asset 1,US Tbill 1-3yr
0.0007682499689553978,0.699305520881861,2.3868769623419825,21.940125456044306,1.8572734451625286e-43,0.8031263223107042,0.8014579013133374,120,Asset 1,US AGG
0.0018053449900041945,0.2720381186542668,3.1665184654439456,8.106689744208385,5.470985495794738e-13,0.3577127383660511,0.35226962597932276,120,Asset 1,Global AGG
0.002397055425557252,-0.035792904316979006,3.3906251882435736,-0.8987761965186754,0.37060223623618804,0.0067992056127440526,-0.0016177502718937031,120,Asset 1,US Dollar
0.002480978391652713,-0.006172500665709436,3.527462043098849,-0.4548123525251357,0.650079875710369,0.0017499346994420684,-0.006709811616664396,120,Asset 1,Commodities
0.002613901059817226,-0.04208565898406316,3.7182497974917577,-1.5171169708210719,0.1319116858439949,0.019132273080210038,0.010819834716483068,120,Asset 1,Long Short HF
0.0027475956308206,-0.060151200659585555,3.8430111447838256,-1.653477535238058,0.10089175954280165,0.022644725033461377,0.014362053211711023,120,Asset 1,Event Driven HF
0.0026125463045100243,-0.08266817077725061,3.742447929815616,-1.8296060684579964,0.06983337419851098,0.027585731179050832,0.01934493229073775,120,Asset 1,HF FOF Div
0.0025489489292159343,-0.018188081328660198,3.4913506495292568,-0.37278379871686157,0.7099781226575915,0.0011763075572776005,-0.007288300005796389,120,Asset 1,Relative Value HF
0.001599876275504359,0.15386670522503143,2.6029394671272548,6.648589234013238,9.674856436665142e-10,0.272519851446964,0.2663547654422773,120,Asset 1,EM Bond
0.0016282050689693526,0.2656755119404897,3.3439701885928685,11.588124078117552,3.3757390306505897e-21,0.5322743012880642,0.5283105241803359,120,Asset 1,TIPs
0.002348167312156055,0.021596748399600962,3.2846873347242056,0.9237960262916703,0.3574777287859655,0.00718026665343563,-0.0012334599003487323,120,Asset 1,High Yield
0.0025206452759088697,-0.008239470605319477,3.5610931113054685,-0.5394512273340044,0.5905920071189226,0.0024600993136401073,-0.005993628658278238,120,Asset 1,MSCI World
0.0024960717978674924,-0.002431459408992938,3.516046189635964,-0.21346852096972352,0.8313299307864188,0.00038602727662395697,-0.008085277576963978,120,Asset 1,MSCI Canada
0.0024954256646681524,-0.0034048514742117428,3.5255524571579726,-0.25267777909818223,0.8009568557948887,0.000540775708911978,-0.00792921771728361,120,Asset 1,MSCI EAFE
0.00244398954642093,0.0032243189249414996,3.4375085462147394,0.31401377013398446,0.7540650464082546,0.0008349349099238124,-0.007632565641686906,120,Asset 1,MSCI EM Equity
0.0025207880005349084,-0.007160932445887842,3.5653192068041095,-0.5823684386293538,0.5614296517029049,0.0028659407281409477,-0.005584347909756149,120,Asset 1,MSCI Europe
0.0024583334179157108,0.005459117005482551,3.486240698550629,0.3653531347149447,0.7155018889885127,0.0011299329347994602,-0.007335067633549741,120,Asset 1,MSCI Japan
0.002448403903855108,0.0029766725836807484,3.444546913678298,0.2753698836795631,0.7835136938116923,0.0006422023351790873,-0.007826931543336357,120,Asset 1,MSCI Asia ex-J
0.0025663342071235726,-0.015210620867078542,3.6257525529489487,-0.9387577523328873,0.3497727223373108,0.007412994043094812,-0.0009987602446754895,120,Asset 1,US Growth
0.002535095678630555,-0.010146066202741954,3.5778389183606,-0.644936023540256,0.5202205693121268,0.003512554692959746,-0.004932254165574523,120,Asset 1,US Value
0.002617418614654629,-0.018639446834515974,3.7217428096156575,-1.5181819442564488,0.13164325454526352,0.01915862834935167,0.01084641333536318,120,Asset 1,US Small Cap
0.002581857627886008,-0.0129729274617675,3.6354816796383327,-0.9411412454715359,0.3485551969395484,0.007450404000830635,-0.0009610332533995791,120,Asset 1,US Mid Cap
0.0020427331063984154,0.04765216553883345,3.0481647734610733,3.9658530692247336,0.00012586202657404458,0.11761180662351278,0.11013394057794934,120,Asset 1,Gold
0.0025477232396498312,-0.012886588526789533,3.5976974583976657,-0.7740833153708903,0.4404296868783676,0.005052352410296446,-0.0033794073150399395,120,Asset 1,S&P500
0.005156175400095692,0.2554994210859543,1.0236516057572902,0.5324227437973486,0.5954343768949717,0.0023965645290831006,-0.006057701873212862,120,Asset 2,US Muni
0.009803635980020747,-5.084804745782048,2.0785380106051745,-4.190133333418463,5.4084513761854625e-05,0.12951886808252078,0.12214190933745739,120,Asset 2,US Tbill 1-3yr
