Asset 1,Asset 2,Asset 3,Asset 4,Asset 5,weights_tuple,distance_l1,annualized_return,annualized_volatility,sharpe_zero_rf,required_annual_return,full_history_terminal_wealth,full_history_max_drawdown_pct_peak,full_history_max_drawdown_pct_initial,monthly_var_99_empirical,meets_return_goal_average,rolling_windows,rolling_mean_terminal_wealth,rolling_median_terminal_wealth,rolling_worst_terminal_wealth,rolling_best_terminal_wealth,rolling_target_hit_rate,rolling_drawdown_safe_rate,rolling_worst_drawdown_pct_initial,rolling_best_drawdown_pct_initial,meets_target_goal_99pct,meets_drawdown_goal_99pct,meets_all_goals_99pct
0.36,0.12,0.06,0.18,0.28,"(0.36, 0.12, 0.06, 0.18, 0.28)",0.17999999999999994,0.055176978202077676,0.047781474579139165,1.1547776348067604,0.0601580065221875,27532103.819012668,-0.11167670880178793,-0.14680415432621394,0.03448839244220992,0.0,61.0,23040790.217540175,23302719.40560656,20555713.706037816,24635735.62586153,0.6885245901639344,1.0,-0.1477246543077278,-0.07137558691510165,0.0,1.0,0.0
0.34,0.12,0.06,0.2,0.28,"(0.34, 0.12, 0.06, 0.2, 0.28)",0.13999999999999996,0.055104004552811725,0.04804774798562049,1.1468592569479634,0.0601580065221875,27511500.282848544,-0.11272170842376383,-0.14858211076593358,0.03473477723145896,0.0,61.0,23023322.994282335,23309060.659440216,20576552.447882477,24648803.99873933,0.6885245901639344,1.0,-0.14949137997976733,-0.07128286923823837,0.0,1.0,0.0
0.32,0.14,0.04,0.2,0.3,"(0.32, 0.14, 0.04, 0.2, 0.3)",0.12000000000000002,0.05509114007869753,0.04814559220835271,1.1442613446374816,0.0601580065221875,27534424.986733455,-0.11386163645296798,-0.14776329612016326,0.03535312660571777,0.0,61.0,23056617.23370567,23323888.093476392,20314145.419973023,24590983.127145562,0.6885245901639344,1.0,-0.1489329171777703,-0.06823866990781204,0.0,1.0,0.0
0.34,0.14,0.04,0.2,0.28,"(0.34, 0.14, 0.04, 0.2, 0.28)",0.16,0.05494520419870974,0.04734987059023872,1.1604087511495083,0.0601580065221875,27498246.723988526,-0.11114012570785181,-0.1440249161920173,0.03446256614643109,0.0,61.0,23039837.65692898,23328355.817770425,20350355.24980633,24558944.692252327,0.6885245901639344,1.0,-0.14518240086380538,-0.06644602366637128,0.0,1.0,0.0
0.32,0.1,0.06,0.18,0.34,"(0.32, 0.1, 0.06, 0.18, 0.34)",0.14000000000000007,0.05491158618377012,0.048067087060161065,1.1423947141844155,0.0601580065221875,27454984.25881644,-0.11260898509017936,-0.14887731059725623,0.035332079023807826,0.0,61.0,23089539.180155538,23367236.050485857,20682431.79375327,24660880.002875138,0.6885245901639344,1.0,-0.14955106544368837,-0.07776301911537266,0.0,1.0,0.0
0.32,0.14,0.04,0.22,0.28,"(0.32, 0.14, 0.04, 0.22, 0.28)",0.12,0.05487196039632147,0.04762381590258412,1.1521957944017682,0.0601580065221875,27477570.185920898,-0.11218656731796073,-0.14577747110161807,0.03482142194875411,0.0,61.0,23022005.690720137,23270853.376108836,20370944.17704227,24548221.763273414,0.6885245901639344,1.0,-0.1469268341329915,-0.06636555938018175,0.0,1.0,0.0
0.28,0.12,0.04,0.2,0.36,"(0.28, 0.12, 0.04, 0.2, 0.36)",0.15999999999999995,0.05483168109702796,0.048311334554430804,1.1349651505745695,0.0601580065221875,27458682.609814797,-0.11203490793967197,-0.1458659848353271,0.03573179058403484,0.0,61.0,23106123.671547767,23388564.03132614,20440448.260163385,24632015.050449904,0.6885245901639344,1.0,-0.14675820854211433,-0.07469788018900239,0.0,1.0,0.0
0.36,0.14,0.04,0.2,0.26,"(0.36, 0.14, 0.04, 0.2, 0.26)",0.19999999999999998,0.054797884531840424,0.04656865432640546,1.1767117887443188,0.0601580065221875,27461766.459908582,-0.1084141965758848,-0.1402908883332784,0.0335720056871444,0.0,61.0,23022897.648533165,23261956.399223432,20386462.2567323,24526700.381110147,0.6885245901639344,1.0,-0.14143551810580202,-0.06466055117694103,0.0,1.0,0.0
0.3,0.14,0.04,0.24,0.28,"(0.3, 0.14, 0.04, 0.24, 0.28)",0.07999999999999999,0.05479748302949794,0.04792106449687614,1.1434946949701015,0.0601580065221875,27456602.368226405,-0.1132330740930465,-0.14753783318640995,0.035180277751077134,0.0,61.0,23004092.521550786,23235722.32578077,20391418.6758306,24537309.97956492,0.6885245901639344,1.0,-0.14867864916915777,-0.06628516012715134,0.0,1.0,0.0
0.26,0.12,0.04,0.22,0.36,"(0.26, 0.12, 0.04, 0.22, 0.36)",0.15999999999999998,0.05476000129453551,0.048549449617398856,1.1279221850315468,0.0601580065221875,27438428.8243749,-0.1130791471232766,-0.14762804500618681,0.03609064638635786,0.0,61.0,23088373.498458717,23363327.457721118,20461299.654059596,24621478.97385334,0.6885245901639344,1.0,-0.14850888192739337,-0.07459774495110764,0.0,1.0,0.0
