Asset 1,Asset 2,Asset 3,Asset 4,Asset 5,weights_tuple,annualized_return,annualized_volatility,sharpe_zero_rf,required_annual_return,full_history_terminal_wealth,full_history_max_drawdown_pct_peak,full_history_max_drawdown_pct_initial,monthly_var_99_empirical,meets_return_goal_average,rolling_windows,rolling_mean_terminal_wealth,rolling_median_terminal_wealth,rolling_worst_terminal_wealth,rolling_best_terminal_wealth,rolling_target_hit_rate,rolling_drawdown_safe_rate,rolling_worst_drawdown_pct_initial,rolling_best_drawdown_pct_initial,meets_target_goal_99pct,meets_drawdown_goal_99pct,meets_all_goals_99pct
0.30000000000000004,0.1,0.05,0.25,0.30000000000000004,"(0.3, 0.1, 0.05, 0.25, 0.3)",0.05394542024064286,0.04573683728066725,1.1794742148348185,0.0601580065221875,27215358.99219587,-0.10346189478316536,-0.1362111089452735,0.034163745696285754,0.0,61.0,23003928.836243384,23292717.05159849,20628356.1876708,24597910.43416181,0.6721311475409836,1.0,-0.13682029586176822,-0.0719776321556177,0.0,1.0,0.0
0.30000000000000004,0.05,0.05,0.30000000000000004,0.30000000000000004,"(0.3, 0.05, 0.05, 0.3, 0.3)",0.051956292735780396,0.041877499128238446,1.2406732449967557,0.0601580065221875,26697078.0606152,-0.0923925422169749,-0.12295428887101056,0.032773442877984546,0.0,61.0,22954087.361647934,23296453.81685145,20242388.16962187,24635150.737860348,0.639344262295082,1.0,-0.12300481974561824,-0.07418845645233636,0.0,1.0,0.0
0.25,0.1,0.05,0.30000000000000004,0.30000000000000004,"(0.25, 0.1, 0.05, 0.3, 0.3)",0.05375659593495352,0.04656461178023012,1.1544517151494194,0.0601580065221875,27162843.136142846,-0.10553392838573106,-0.13989976461964762,0.03477970766940834,0.0,61.0,22959943.350478522,23303227.815133575,20444682.073700752,24629479.211726815,0.6229508196721312,1.0,-0.14047596554374137,-0.07173843464808642,0.0,1.0,0.0
0.30000000000000004,0.1,0.05,0.30000000000000004,0.25,"(0.3, 0.1, 0.05, 0.3, 0.25)",0.05338717832821849,0.04457831833411985,1.197604134101138,0.0601580065221875,27072438.280171342,-0.09834999995682958,-0.12981803717373167,0.033260109319471536,0.0,61.0,22918363.92870358,23259708.341000248,20445255.243345603,24612052.98762537,0.5409836065573771,1.0,-0.1303768388107421,-0.06736004816681623,0.0,1.0,0.0
0.30000000000000004,0.1,0.0,0.30000000000000004,0.30000000000000004,"(0.3, 0.1, 0.0, 0.3, 0.3)",0.051557452918221,0.039880676628181885,1.2927928329527805,0.0601580065221875,26664638.369663063,-0.0812887018333458,-0.10292082803102169,0.030872827954055753,0.0,61.0,22990644.44949551,23099698.722337987,20907927.770800322,24538826.32712533,0.5409836065573771,1.0,-0.10345419530067469,-0.06373175352205274,0.0,1.0,0.0
0.30000000000000004,0.2,0.0,0.30000000000000004,0.2,"(0.3, 0.2, 0.0, 0.3, 0.2)",0.054251349587762565,0.04882563485948406,1.1111243047610797,0.0601580065221875,27378489.21144572,-0.11241276954430812,-0.1419669245430438,0.034508730706649796,0.0,61.0,22907219.12871374,23094261.932670288,19902565.984303176,24648226.761265066,0.5245901639344263,1.0,-0.14382351624421857,-0.05011355687493148,0.0,1.0,0.0
0.30000000000000004,0.15000000000000002,0.0,0.25,0.30000000000000004,"(0.3, 0.15, 0.0, 0.25, 0.3)",0.05350883686202512,0.044742989950279886,1.1959155371933385,0.0601580065221875,27173591.89982106,-0.09860903351046979,-0.12431486901596106,0.0325383172423801,0.0,61.0,23043494.24223363,23090902.57666014,20263530.373701397,24710040.115886647,0.5245901639344263,1.0,-0.12545481939747144,-0.060006565116659014,0.0,1.0,0.0
0.25,0.15000000000000002,0.0,0.30000000000000004,0.30000000000000004,"(0.25, 0.15, 0.0, 0.3, 0.3)",0.05332605980720406,0.04545961306326015,1.1730425363057362,0.0601580065221875,27122448.19626402,-0.10091761067598382,-0.1280946102671561,0.033228989504225745,0.0,61.0,22997749.332414366,23155579.503057785,20314721.959928624,24682674.177167177,0.5245901639344263,1.0,-0.12922805586352076,-0.06034073038371818,0.0,1.0,0.0
0.30000000000000004,0.15000000000000002,0.0,0.30000000000000004,0.25,"(0.3, 0.15, 0.0, 0.3, 0.25)",0.05295096269997379,0.043543797600409745,1.216039151795881,0.0601580065221875,27030859.57735754,-0.09406145286109524,-0.11896259708442125,0.03163468086556588,0.0,61.0,22953702.050185192,23178035.88893077,20403727.46095274,24600371.31464445,0.5245901639344263,1.0,-0.12005321931794968,-0.05523194500114997,0.0,1.0,0.0
0.30000000000000004,0.2,0.0,0.25,0.25,"(0.3, 0.2, 0.0, 0.25, 0.25)",0.05482251788643144,0.04964972611950296,1.1041857059690114,0.0601580065221875,27526237.168449007,-0.11655218760030761,-0.14673523727081178,0.03583799234905896,0.0,61.0,22998701.42417237,23018278.205252577,19766937.59145742,24813992.1647918,0.5081967213114754,1.0,-0.14866421399482257,-0.05556315990698503,0.0,1.0,0.0
0.30000000000000004,0.15000000000000002,0.05,0.2,0.30000000000000004,"(0.3, 0.15, 0.05, 0.2, 0.3)",0.05585146384298034,0.0509392840635544,1.0964320537622252,0.0601580065221875,27721910.638187174,-0.12458972495883402,-0.16323254532889567,0.03776586650870894,0.0,61.0,23046674.971745115,23265791.363459915,20190852.39453052,24585478.32860946,0.6885245901639344,0.6229508196721312,-0.16460338431787325,-0.07436406332863557,0.0,0.0,0.0
0.25,0.15000000000000002,0.05,0.25,0.30000000000000004,"(0.25, 0.15, 0.05, 0.25, 0.3)",0.055661285124747995,0.05170432412860952,1.0765305622465138,0.0601580065221875,27668116.168742884,-0.12716758998415234,-0.167743403813876,0.03866300601451649,0.0,61.0,23001497.161754988,23256554.586002328,20241282.111441456,24578006.4716266,0.6885245901639344,0.5245901639344263,-0.16908900347065367,-0.07385335480005895,0.0,0.0,0.0
0.30000000000000004,0.2,0.05,0.2,0.25,"(0.3, 0.2, 0.05, 0.2, 0.25)",0.057122551948855405,0.05606643041057587,1.0188369676925306,0.0601580065221875,28069687.01277038,-0.14510264460492694,-0.18985746956569743,0.04127200885934971,0.0,61.0,22995211.13639824,23140760.767095122,19694099.334595107,25034330.24166219,0.6229508196721312,0.2459016393442623,-0.19222401563559782,-0.07034905628729694,0.0,0.0,0.0
0.30000000000000004,0.2,0.05,0.15000000000000002,0.30000000000000004,"(0.3, 0.2, 0.05, 0.15, 0.3)",0.05767372483877553,0.057119016646326945,1.0097114450671176,0.0601580065221875,28215662.599977545,-0.14801412320342477,-0.19305636627585812,0.042601270501758874,0.0,61.0,23082290.028469484,23217863.051504653,19556787.08002706,25389373.21196261,0.6229508196721312,0.22950819672131148,-0.19547831769341292,-0.07622889754482151,0.0,0.0,0.0
0.25,0.2,0.05,0.2,0.30000000000000004,"(0.25, 0.2, 0.05, 0.2, 0.3)",0.05748220128075898,0.05782067296578026,0.9941461821929746,0.0601580065221875,28160601.57443732,-0.15118195849039417,-0.19852896250330823,0.04349841000756642,0.0,61.0,23035924.947976053,23183623.521731038,19605641.139433566,25235012.111180868,0.6229508196721312,0.13114754098360656,-0.20094235557663917,-0.07552329710145418,0.0,0.0,0.0
0.2,0.2,0.05,0.25,0.30000000000000004,"(0.2, 0.2, 0.05, 0.25, 0.3)",0.057282938059815436,0.05864104398082433,0.9768403522718151,0.0601580065221875,28103680.752135273,-0.1543459588360684,-0.20405536220658674,0.04439554951337399,0.0,61.0,22989059.04381332,23130040.33620995,19653799.213028803,25080858.00237354,0.6229508196721312,0.11475409836065574,-0.20645703427754591,-0.07482379833252645,0.0,0.0,0.0
0.30000000000000004,0.15000000000000002,0.05,0.25,0.25,"(0.3, 0.15, 0.05, 0.25, 0.25)",0.05529668914114261,0.04982896777586025,1.1097297738511693,0.0601580065221875,27577399.886697643,-0.12043219219565016,-0.15828929467730224,0.03643660486629978,0.0,61.0,22960335.442862872,23209687.173133023,20331737.92392176,24562004.06033826,0.6065573770491803,0.7377049180327869,-0.15960604234655865,-0.06885030669085578,0.0,0.0,0.0
0.2,0.15000000000000002,0.05,0.30000000000000004,0.30000000000000004,"(0.2, 0.15, 0.05, 0.3, 0.3)",0.055463392389319965,0.05259997398913865,1.054437639090327,0.0601580065221875,27612496.00165166,-0.12983548553677826,-0.17242205841188277,0.03956014552032405,0.0,61.0,22955814.59494458,23221105.95870434,20290995.69785101,24608370.605467048,0.6065573770491803,0.45901639344262296,-0.1737608288566352,-0.07351722621782082,0.0,0.0,0.0
0.30000000000000004,0.30000000000000004,0.0,0.1,0.30000000000000004,"(0.3, 0.3, 0.0, 0.1, 0.3)",0.058860891727541054,0.06500192032085164,0.905525428125842,0.0601580065221875,28624193.721376106,-0.16446347096456737,-0.20438292718785442,0.046838061977567985,0.0,61.0,23159729.5748869,23437077.804300934,18397896.038234044,27495786.479126535,0.5901639344262295,0.11475409836065574,-0.20871736029769522,-0.06348569793919825,0.0,0.0,0.0
0.30000000000000004,0.25,0.05,0.15000000000000002,0.25,"(0.3, 0.25, 0.05, 0.15, 0.25)",0.0588640740472024,0.06299827167174356,0.9343760151693897,0.0601580065221875,28548241.680355977,-0.1693089218769107,-0.22048065941554598,0.04610741285239964,0.0,61.0,23022966.449140385,23082851.104399584,19067902.54258073,26164288.437357314,0.5901639344262295,0.09836065573770492,-0.22411285768382583,-0.07185346019903219,0.0,0.0,0.0
0.30000000000000004,0.25,0.1,0.05,0.30000000000000004,"(0.3, 0.25, 0.1, 0.05, 0.3)",0.06151724969683725,0.07174979594797018,0.857385709381625,0.0601580065221875,29209479.6858211,-0.20356714240360363,-0.27456212839101546,0.05287069100509956,1.0,61.0,23079748.321736872,23191496.12712356,18845834.76431492,26748286.55234091,0.5901639344262295,0.06557377049180328,-0.27887885947448054,-0.09359884307176082,0.0,0.0,0.0
0.30000000000000004,0.2,0.1,0.1,0.30000000000000004,"(0.3, 0.2, 0.1, 0.1, 0.3)",0.05982694690177137,0.06499197793937969,0.9205281759169428,0.0601580065221875,28734688.44460131,-0.1801092313114927,-0.2440558923480939,0.04803528701204962,0.0,61.0,23061618.08830563,23219513.63394987,19468895.34148703,25600446.711129278,0.5901639344262295,0.06557377049180328,-0.24691441105345346,-0.09189048377072521,0.0,0.0,0.0
0.2,0.25,0.05,0.2,0.30000000000000004,"(0.2, 0.25, 0.05, 0.2, 0.3)",0.05901802599896189,0.06538811696272127,0.902580296548514,0.0601580065221875,28581032.01850364,-0.17834315125509292,-0.23466993459085644,0.04923095350642392,0.0,61.0,23015159.646586694,23092804.484862898,19028057.018988352,26212288.332636926,0.5901639344262295,0.06557377049180328,-0.23837243536492106,-0.07648797140724212,0.0,0.0,0.0
0.30000000000000004,0.15000000000000002,0.05,0.30000000000000004,0.2,"(0.3, 0.15, 0.05, 0.3, 0.2)",0.054725188580871276,0.04902055045165263,1.1163723800866934,0.0601580065221875,27429419.986240707,-0.11748124234795465,-0.15489597673330208,0.035107343223890614,0.0,61.0,22873089.585952427,23222315.453540742,20471589.39349911,24574800.90104933,0.5737704918032787,0.819672131147541,-0.1561936919069553,-0.06374837739757945,0.0,0.0,0.0
