Asset 1,Asset 2,Asset 3,Asset 4,Asset 5,weights_tuple,distance_l1,annualized_return,annualized_volatility,sharpe_zero_rf,required_annual_return,full_history_terminal_wealth,full_history_max_drawdown_pct_peak,full_history_max_drawdown_pct_initial,monthly_var_99_empirical,meets_return_goal_average,rolling_windows,rolling_mean_terminal_wealth,rolling_median_terminal_wealth,rolling_worst_terminal_wealth,rolling_best_terminal_wealth,rolling_target_hit_rate,rolling_drawdown_safe_rate,rolling_worst_drawdown_pct_initial,rolling_best_drawdown_pct_initial,meets_target_goal_99pct,meets_drawdown_goal_99pct,meets_all_goals_99pct
0.25,0.2,0.0,0.28,0.27,"(0.25, 0.2, 0.0, 0.28, 0.27)",0.26,0.05485746093245014,0.05081756235672936,1.079498078781534,0.0601580065221875,27530965.814740293,-0.12081126288892718,-0.15293943626266698,0.03726683651183018,0.0,61.0,22987974.917165555,23060975.511758488,19761682.05781602,24802730.7209271,0.5245901639344263,0.8360655737704918,-0.15489468677502807,-0.057180601847107625,0.0,0.0,0.0
0.26,0.18,0.01,0.26,0.29,"(0.26, 0.18, 0.01, 0.26, 0.29)",0.18,0.054855762583533085,0.04966567950452917,1.1045003940503948,0.0601580065221875,27513918.62613832,-0.11827186440287352,-0.15077128566127396,0.036771754972470504,0.0,61.0,23017401.964660935,23134280.26615978,19936524.812205855,24738348.462559137,0.5245901639344263,0.9180327868852459,-0.15244887499960325,-0.062053467695572725,0.0,0.0,0.0
0.22,0.2,0.0,0.3,0.28,"(0.22, 0.2, 0.0, 0.3, 0.28)",0.29999999999999993,0.054853866007492647,0.05150598699230396,1.0649998031430585,0.0601580065221875,27527452.690094993,-0.12319496849950418,-0.15649318005894808,0.038070972543796544,0.0,61.0,22977673.35646096,23092290.683863815,19763758.38012608,24781806.58119898,0.5245901639344263,0.7377049180327869,-0.1584597511426258,-0.05792938962193682,0.0,0.0,0.0
0.23,0.18,0.01,0.28,0.3,"(0.23, 0.18, 0.01, 0.28, 0.3)",0.22,0.05485291780655488,0.05035532422778213,1.089317140694555,0.0601580065221875,27510615.661692612,-0.12066184042381156,-0.15434710244902222,0.037575891004436875,0.0,61.0,23007283.87522798,23155121.71983389,19938688.43507965,24743138.417324424,0.5245901639344263,0.819672131147541,-0.15603116135491846,-0.06298128987763119,0.0,0.0,0.0
0.28,0.19,0.01,0.27,0.25,"(0.28, 0.19, 0.01, 0.27, 0.25)",0.21999999999999997,0.05485173036059554,0.04979872934046702,1.1014684729319466,0.0601580065221875,27517403.572486125,-0.1183659387095084,-0.15072450365139545,0.03631657065483014,0.0,61.0,22972390.659741327,23164793.928229466,19899793.234034006,24692810.52046098,0.5245901639344263,0.8852459016393442,-0.15253606995063895,-0.058014011978060005,0.0,0.0,0.0
0.25,0.19,0.01,0.29,0.26,"(0.25, 0.19, 0.01, 0.29, 0.26)",0.25999999999999995,0.0548486912831645,0.050490490688355906,1.0863172556929355,0.0601580065221875,27514049.425230097,-0.12075511769487368,-0.154295400342154,0.03712070668679651,0.0,61.0,22962312.882788736,23196322.414011132,19901937.979323547,24697580.089222975,0.5245901639344263,0.8032786885245902,-0.156116311990508,-0.05875774315406527,0.0,0.0,0.0
0.3,0.2,0.01,0.28,0.21,"(0.3, 0.2, 0.01, 0.28, 0.21)",0.26,0.05483878941257747,0.050101518670667,1.0945534360555025,0.0601580065221875,27518664.65380457,-0.11846623506489562,-0.15068036726923886,0.03586138633718977,0.0,61.0,22926517.87650055,23134273.868457347,19862221.094398685,24646039.1712716,0.5245901639344263,0.8852459016393442,-0.1526262480611027,-0.05405791243794809,0.0,0.0,0.0
0.27,0.2,0.01,0.3,0.22,"(0.27, 0.2, 0.01, 0.3, 0.22)",0.29999999999999993,0.05483555535083018,0.05079306672884073,1.0795874099032121,0.0601580065221875,27515259.31704219,-0.12085460241441026,-0.1542462352873031,0.03666552236915614,0.0,61.0,22916480.538751908,23127385.86643007,19864346.8500185,24650788.132856198,0.5245901639344263,0.7868852459016393,-0.15620433523687574,-0.054802316163382596,0.0,0.0,0.0
0.24,0.2,0.0,0.29,0.27,"(0.24, 0.2, 0.0, 0.29, 0.27)",0.27999999999999997,0.05481876411309239,0.05098426276631162,1.075209508556716,0.0601580065221875,27520065.852988094,-0.12133113169191534,-0.15380556717376886,0.03744626441299169,0.0,61.0,22978499.994995248,23081262.125998393,19771454.007436473,24772497.73696503,0.5245901639344263,0.8032786885245902,-0.1557599546104111,-0.05706077140020827,0.0,0.0,0.0
0.25,0.18,0.01,0.27,0.29,"(0.25, 0.18, 0.01, 0.27, 0.29)",0.2,0.0548178160508801,0.04982187942741813,1.1002759566856604,0.0601580065221875,27503220.440152284,-0.11879251458131923,-0.15164055162827028,0.03695118287363201,0.0,61.0,23008081.650894623,23147130.038532376,19946463.74360443,24732694.636517767,0.5245901639344263,0.8852459016393442,-0.1533161311088434,-0.06202601309111259,0.0,0.0,0.0
0.22,0.18,0.01,0.29,0.3,"(0.22, 0.18, 0.01, 0.29, 0.3)",0.23999999999999996,0.05481436134845996,0.05052104189464524,1.0849808177505098,0.0601580065221875,27499767.532982122,-0.12118168133178231,-0.15522207731708262,0.037755318905598384,0.0,61.0,22997911.395866074,23172683.748504974,19948564.452790663,24737387.24216408,0.5245901639344263,0.7868852459016393,-0.15690377359612803,-0.06295285600883245,0.0,0.0,0.0
0.27,0.19,0.01,0.28,0.25,"(0.27, 0.19, 0.01, 0.28, 0.25)",0.24,0.05481308460434886,0.04996786502719276,1.0969667119961861,0.0601580065221875,27506528.65625967,-0.11888713609937207,-0.15159322095189512,0.03649599855599165,0.0,61.0,22963031.316998016,23185176.110093977,19909639.101703174,24687063.55493337,0.5245901639344263,0.8852459016393442,-0.15340348073401136,-0.05789360868826757,0.0,0.0,0.0
0.24,0.19,0.01,0.3,0.26,"(0.24, 0.19, 0.01, 0.3, 0.26)",0.27999999999999997,0.054809435520501326,0.05066893316819956,1.0817167856792453,0.0601580065221875,27503024.574624855,-0.12127550534053455,-0.1551698082335999,0.03730013458795802,0.0,61.0,22952901.480266567,23180680.08580038,19911721.017456472,24691735.90920504,0.5245901639344263,0.7868852459016393,-0.15698906401482762,-0.05863710595782391,0.0,0.0,0.0
0.29,0.12,0.07,0.29,0.23,"(0.29, 0.12, 0.07, 0.29, 0.23)",0.15999999999999998,0.054803599172629,0.049403437197644604,1.1093074142469153,0.0601580065221875,27418637.339408867,-0.1182402453678374,-0.1586211963149125,0.03535669231878396,0.0,61.0,22894382.075107608,23190867.47827725,20317319.16562562,24783393.42205588,0.5245901639344263,0.7540983606557377,-0.1595085648285972,-0.06833496730990687,0.0,0.0,0.0
0.29,0.2,0.01,0.29,0.21,"(0.29, 0.2, 0.01, 0.29, 0.21)",0.27999999999999997,0.05479944448446994,0.0502829037245756,1.0898225922797473,0.0601580065221875,27507613.8065673,-0.11898797379059811,-0.15154850816213009,0.03604081423835129,0.0,61.0,22917119.983673703,23119673.11261326,19871973.727208175,24640199.7011668,0.5245901639344263,0.8852459016393442,-0.15349378630603913,-0.05394210936611208,0.0,0.0,0.0
0.24,0.19,0.0,0.27,0.3,"(0.24, 0.19, 0.0, 0.27, 0.3)",0.22000000000000003,0.054788510947400226,0.05031075288122524,1.0890020087106662,0.0601580065221875,27509377.53213127,-0.11936835739770457,-0.15117240220108008,0.0372767405998272,0.0,61.0,23024590.33354368,23026629.10388477,19815862.062390625,24804722.113551494,0.5245901639344263,0.8852459016393442,-0.15297956170495,-0.06023561265486458,0.0,0.0,0.0
0.26,0.2,0.0,0.28,0.26,"(0.26, 0.2, 0.0, 0.28, 0.26)",0.26,0.05478302194227225,0.050469243505092555,1.085473411875976,0.0601580065221875,27512521.532455668,-0.11946454394503869,-0.1511246901762852,0.03682155628218683,0.0,61.0,22979242.31293733,23070156.465753283,19779083.58056652,24763124.385994516,0.5245901639344263,0.8852459016393442,-0.15306632881336368,-0.05619329056013479,0.0,0.0,0.0
