,US Muni,US Tbill 1-3yr,US AGG,Global AGG,US Dollar,Commodities,Long Short HF,Event Driven HF,HF FOF Div,Relative Value HF,EM Bond,TIPs,High Yield,MSCI World,MSCI Canada,MSCI EAFE,MSCI EM Equity,MSCI Europe,MSCI Japan,MSCI Asia ex-J,US Growth,US Value,US Small Cap,US Mid Cap,Gold,S&P500,Cash
Date,LM17TR,LT01TRUU,LBUSTRUU,LEGATRUU,USTW$,BCOMTR,HFRIEHI,HFRIEDI,HFRIFOFD,HFRIRVA,JPEIGLBL,SPBDU1ST,H0A0,NDDUWI,NDDUCA,NDDUEAFE,NDUEEGF,NDDUE15,NDDUJN,NDUECAXJ,RU10GRTR,RU10VATR,RU20INTR,RUMCINTR,GOLDS,SPTR,LD12TRUU
17-Jan,0.70%,0.13%,0.20%,1.13%,-0.88%,0.14%,1.86%,1.49%,0.75%,1.28%,1.44%,1.83%,1.34%,2.41%,3.72%,2.90%,5.47%,2.08%,3.72%,6.20%,3.37%,0.71%,0.39%,2.41%,5.51%,1.90%,0.04%
17-Feb,0.67%,0.10%,0.67%,0.47%,-0.67%,0.21%,1.09%,0.78%,0.87%,0.62%,2.08%,-0.09%,1.56%,2.77%,-1.58%,1.43%,3.06%,1.19%,1.12%,3.39%,4.15%,3.59%,1.93%,2.83%,3.12%,3.97%,0.04%
17-Mar,0.17%,0.04%,-0.05%,0.15%,0.55%,-2.66%,0.87%,0.15%,0.26%,0.30%,0.35%,-0.20%,-0.21%,1.07%,0.41%,2.75%,2.52%,4.02%,-0.37%,3.27%,1.16%,-1.02%,0.13%,-0.16%,0.06%,0.12%,0.02%
17-Apr,0.71%,0.14%,0.77%,1.13%,-0.52%,-1.51%,0.74%,0.88%,0.40%,0.28%,1.63%,1.09%,1.13%,1.48%,-2.12%,2.54%,2.19%,3.53%,1.05%,2.18%,2.29%,-0.19%,1.10%,0.77%,1.53%,1.03%,0.06%
17-May,1.31%,0.13%,0.77%,1.55%,-0.85%,-1.33%,0.34%,0.14%,0.24%,-0.01%,0.83%,-0.19%,0.89%,2.12%,-0.23%,3.67%,2.96%,4.85%,3.01%,4.35%,2.60%,-0.10%,-2.03%,0.91%,0.05%,1.41%,0.06%
17-Jun,-0.38%,-0.09%,-0.10%,-0.09%,-1.55%,-0.19%,0.85%,0.51%,-0.26%,0.19%,-0.26%,-1.41%,0.11%,0.38%,3.06%,-0.18%,1.01%,-1.09%,1.06%,1.59%,-0.26%,1.63%,3.46%,0.99%,-2.15%,0.62%,0.08%
17-Jul,0.73%,0.21%,0.43%,1.68%,-2.39%,2.26%,1.47%,0.83%,0.90%,0.71%,0.66%,0.58%,1.15%,2.39%,3.95%,2.88%,5.96%,2.99%,2.02%,5.35%,2.66%,1.33%,0.74%,1.47%,2.24%,2.06%,0.08%
17-Aug,0.66%,0.20%,0.90%,0.99%,-1.52%,0.40%,0.61%,-0.04%,0.96%,0.16%,1.73%,1.36%,-0.03%,0.14%,0.12%,-0.04%,2.23%,0.06%,-0.05%,1.33%,1.83%,-1.16%,-1.27%,-0.78%,4.10%,0.31%,0.09%
17-Sep,-0.46%,-0.17%,-0.48%,-0.90%,-1.22%,-0.15%,1.40%,0.71%,0.51%,0.43%,-0.01%,-1.20%,0.90%,2.24%,3.70%,2.49%,-0.40%,3.30%,1.96%,-0.12%,1.30%,2.96%,6.24%,2.77%,-3.15%,2.06%,0.09%
17-Oct,0.14%,-0.07%,0.06%,-0.38%,1.84%,2.14%,1.05%,0.42%,1.23%,0.17%,0.18%,0.13%,0.39%,1.89%,-0.22%,1.52%,3.51%,0.47%,4.61%,4.72%,3.87%,0.73%,0.85%,1.67%,-0.65%,2.33%,0.08%
