,US Muni,US Tbill 1-3yr,US AGG,Global AGG,US Dollar,Commodities,Long Short HF,Event Driven HF,HF FOF Div,Relative Value HF,EM Bond,TIPs,High Yield,MSCI World,MSCI Canada,MSCI EAFE,MSCI EM Equity,MSCI Europe,MSCI Japan,MSCI Asia ex-J,US Growth,US Value,US Small Cap,US Mid Cap,Gold,S&P500,Cash
Date,LM17TR,LT01TRUU,LBUSTRUU,LEGATRUU,USTW$,BCOMTR,HFRIEHI,HFRIEDI,HFRIFOFD,HFRIRVA,JPEIGLBL,SPBDU1ST,H0A0,NDDUWI,NDDUCA,NDDUEAFE,NDUEEGF,NDDUE15,NDDUJN,NDUECAXJ,RU10GRTR,RU10VATR,RU20INTR,RUMCINTR,GOLDS,SPTR,LD12TRUU
28-Feb,1.14%,0.81%,1.54%,2.06%,-0.42%,3.37%,0.63%,1.02%,0.82%,0.76%,1.72%,2.28%,1.39%,-0.52%,0.70%,0.81%,-0.59%,-0.36%,4.02%,-0.17%,-1.88%,-1.56%,-0.79%,0.16%,2.47%,-1.96%,0.38%
30-Mar,-0.05%,0.39%,0.00%,0.24%,-1.01%,0.97%,1.01%,1.36%,1.15%,0.75%,0.97%,0.30%,0.23%,1.83%,2.74%,2.55%,3.97%,3.62%,-1.32%,2.27%,0.54%,1.55%,1.07%,0.80%,-0.83%,1.12%,0.45%
30-Apr,0.25%,0.35%,0.54%,1.13%,-1.68%,1.16%,1.86%,1.99%,1.68%,1.42%,0.87%,0.78%,1.32%,4.41%,6.05%,4.44%,4.74%,6.46%,-1.95%,4.46%,4.71%,3.70%,1.80%,3.81%,2.21%,4.43%,0.43%
31-May,-0.36%,-0.10%,-0.76%,-1.56%,-0.81%,0.13%,2.24%,2.17%,2.15%,1.49%,-0.39%,-1.68%,0.71%,2.80%,8.53%,1.75%,4.85%,1.76%,1.63%,5.77%,3.60%,3.61%,4.10%,3.77%,-2.65%,3.49%,0.42%
29-Jun,-0.30%,0.44%,-0.30%,-0.44%,-0.30%,-1.40%,0.89%,0.00%,0.53%,0.56%,-1.89%,-0.24%,-1.69%,-0.77%,-0.17%,0.12%,4.69%,-0.02%,-0.30%,5.02%,-1.49%,-2.34%,-1.46%,-2.25%,-1.64%,-1.66%,0.40%
31-Jul,0.81%,0.89%,0.83%,2.03%,-1.78%,2.08%,0.17%,-0.88%,0.19%,-0.58%,-0.90%,2.37%,-3.14%,-2.21%,-0.26%,-1.47%,5.28%,-2.13%,-0.16%,7.20%,-1.55%,-4.62%,-6.84%,-3.72%,2.26%,-3.10%,0.38%
31-Aug,0.28%,1.04%,1.23%,1.23%,0.00%,-3.63%,-1.67%,-1.70%,-2.18%,-0.69%,1.21%,1.33%,1.11%,-0.08%,0.01%,-1.56%,-2.13%,-1.10%,-2.94%,-1.33%,1.59%,1.12%,2.27%,0.17%,1.35%,1.50%,0.49%
28-Sep,1.14%,0.69%,0.76%,2.24%,-2.06%,8.00%,3.18%,1.55%,1.88%,1.35%,2.27%,0.89%,2.44%,4.76%,9.78%,5.35%,11.04%,5.06%,2.31%,12.20%,4.19%,3.43%,1.72%,3.29%,10.44%,3.74%,0.35%
31-Oct,0.41%,0.39%,0.90%,1.63%,-2.60%,3.33%,3.09%,2.26%,3.07%,2.10%,2.38%,1.38%,0.61%,3.07%,9.36%,3.93%,11.15%,4.66%,-0.38%,10.67%,3.40%,0.01%,2.87%,1.61%,7.15%,1.59%,0.30%
30-Nov,0.92%,1.73%,1.80%,1.91%,-2.41%,-3.14%,-2.89%,-2.52%,-1.47%,-0.53%,-0.37%,4.69%,-2.05%,-4.09%,-11.12%,-3.29%,-7.09%,-3.20%,-1.83%,-8.54%,-3.68%,-4.89%,-7.18%,-4.78%,-1.66%,-4.18%,0.39%
31-Dec,0.40%,0.25%,0.28%,-0.30%,2.09%,4.63%,0.53%,-0.27%,0.33%,0.64%,0.62%,-0.47%,0.29%,-1.29%,2.71%,-2.25%,0.35%,-1.75%,-3.96%,-0.39%,-0.36%,-0.97%,-0.06%,-0.32%,6.40%,-0.69%,0.28%
31-Jan,1.89%,1.74%,1.68%,2.78%,-0.86%,4.22%,-4.47%,-2.53%,-2.83%,-1.29%,0.84%,4.70%,-1.36%,-7.64%,-6.39%,-9.24%,-12.48%,-10.43%,-4.57%,-13.85%,-7.80%,-4.01%,-6.82%,-6.52%,11.08%,-6.00%,0.38%
29-Feb,-3.25%,1.05%,0.14%,1.67%,-0.68%,12.28%,1.31%,0.41%,1.24%,-0.09%,-0.17%,1.88%,-1.19%,-0.58%,6.16%,1.43%,7.38%,1.61%,0.69%,5.81%,-1.99%,-4.19%,-3.71%,-2.29%,5.16%,-3.25%,0.13%
31-Mar,2.32%,0.25%,0.34%,2.04%,-3.22%,-6.34%,-2.84%,-1.41%,-2.59%,-1.99%,-0.04%,0.71%,-0.52%,-0.96%,-5.53%,-1.05%,-5.29%,0.42%,-4.06%,-6.12%,-0.61%,-0.75%,0.42%,-1.45%,-5.85%,-0.43%,0.21%
30-Apr,0.39%,-0.89%,-0.21%,-1.91%,0.12%,3.56%,2.45%,1.00%,0.97%,1.39%,1.01%,-3.33%,4.17%,5.26%,7.05%,5.43%,8.12%,4.53%,7.27%,8.14%,5.25%,4.87%,4.19%,6.76%,-4.29%,4.87%,0.12%
30-May,0.47%,-0.35%,-0.73%,-1.11%,0.39%,2.73%,2.38%,1.52%,1.85%,1.27%,0.12%,0.71%,0.43%,1.52%,7.57%,0.97%,1.86%,0.44%,2.52%,-3.33%,3.67%,-0.16%,4.59%,4.53%,1.02%,1.30%,0.06%
30-Jun,-0.87%,0.28%,-0.08%,0.09%,0.95%,9.10%,-2.44%,-1.60%,-0.81%,-0.63%,-1.93%,1.54%,-2.68%,-7.98%,-3.63%,-8.18%,-9.98%,-8.70%,-6.82%,-11.90%,-7.20%,-9.57%,-7.70%,-7.99%,4.39%,-8.43%,0.17%
31-Jul,0.86%,0.41%,-0.08%,0.14%,-0.72%,-11.85%,-2.84%,-1.43%,-2.61%,-0.82%,1.11%,-0.92%,-1.60%,-2.44%,-6.99%,-3.21%,-3.77%,-2.87%,-3.41%,-0.92%,-1.90%,-0.36%,3.70%,-2.54%,-1.22%,-0.84%,0.17%
29-Aug,1.18%,0.50%,0.95%,-1.65%,4.53%,-7.28%,-2.17%,-0.50%,-1.39%,-0.14%,0.81%,1.32%,0.32%,-1.40%,-1.98%,-4.05%,-7.99%,-3.94%,-3.98%,-6.90%,1.08%,1.70%,3.61%,1.85%,-9.07%,1.45%,0.14%
30-Sep,-3.10%,0.79%,-1.34%,-2.35%,2.02%,-11.53%,-8.14%,-6.01%,-6.53%,-5.90%,-6.84%,-4.63%,-8.30%,-11.89%,-14.23%,-14.46%,-17.50%,-15.08%,-11.21%,-16.56%,-11.58%,-7.35%,-7.97%,-12.26%,4.79%,-8.91%,0.19%
31-Oct,-0.16%,0.96%,-2.36%,-3.69%,6.69%,-21.28%,-9.46%,-8.19%,-5.72%,-8.03%,-14.89%,-7.64%,-16.30%,-18.96%,-27.00%,-20.18%,-27.37%,-21.24%,-14.78%,-24.07%,-17.61%,-17.31%,-20.80%,-22.35%,-16.89%,-16.79%,0.12%
28-Nov,1.24%,1.21%,3.25%,2.89%,2.96%,-6.96%,-3.77%,-3.66%,-2.64%,-2.80%,2.48%,4.69%,-8.43%,-6.47%,-5.71%,-5.41%,-7.53%,-6.86%,-1.25%,-5.92%,-7.95%,-7.17%,-11.83%,-10.18%,13.01%,-7.18%,0.06%
31-Dec,1.67%,0.56%,3.73%,6.21%,-2.64%,-4.48%,0.22%,-1.50%,-1.72%,-0.24%,7.77%,3.42%,7.47%,3.21%,-2.86%,6.01%,7.80%,5.25%,8.13%,9.90%,1.81%,1.39%,5.80%,4.27%,7.82%,1.06%,0.01%
30-Jan,3.36%,-0.31%,-0.88%,-3.27%,0.54%,-5.38%,-0.88%,0.37%,1.11%,2.05%,0.85%,1.08%,5.31%,-8.76%,-3.56%,-9.81%,-6.46%,-11.06%,-6.80%,-5.45%,-4.81%,-11.50%,-11.12%,-7.40%,5.19%,-8.43%,-0.01%
27-Feb,-0.39%,-0.10%,-0.38%,-2.23%,2.75%,-4.43%,-2.20%,-1.41%,-0.21%,0.52%,-1.19%,-3.93%,-3.47%,-10.24%,-8.61%,-10.26%,-5.64%,-10.16%,-12.38%,-6.53%,-7.52%,-13.36%,-12.15%,-9.95%,1.56%,-10.65%,0.02%
31-Mar,0.13%,0.55%,1.39%,2.30%,0.63%,3.60%,2.90%,1.28%,0.03%,1.00%,3.74%,6.61%,3.30%,7.54%,9.34%,6.34%,14.37%,6.93%,2.10%,13.80%,8.92%,8.55%,8.93%,9.15%,-2.44%,8.76%,0.02%
30-Apr,1.31%,-0.15%,0.48%,0.90%,-1.84%,0.73%,5.44%,3.19%,0.80%,3.10%,5.39%,-1.31%,11.47%,11.22%,13.88%,12.80%,16.64%,13.94%,9.63%,16.75%,9.60%,10.72%,15.46%,15.37%,-3.39%,9.57%,0.03%
29-May,0.49%,0.17%,0.73%,3.57%,-4.10%,13.00%,6.37%,4.74%,2.86%,3.93%,3.78%,0.33%,7.11%,9.06%,21.20%,11.83%,17.09%,12.13%,10.30%,16.08%,4.96%,6.18%,3.01%,4.34%,10.24%,5.59%,0.01%
30-Jun,-0.73%,-0.16%,0.57%,0.41%,-2.43%,-1.90%,0.18%,1.53%,0.46%,1.55%,1.32%,-0.54%,3.18%,-0.45%,-5.46%,-0.57%,-1.35%,-1.96%,1.76%,-0.47%,1.12%,-0.74%,1.47%,0.35%,-5.38%,0.20%,0.01%
31-Jul,1.72%,0.15%,1.61%,2.21%,-0.79%,3.23%,3.20%,2.80%,1.47%,2.97%,3.09%,0.98%,6.18%,8.47%,11.97%,9.13%,11.24%,10.50%,4.28%,13.02%,7.10%,8.19%,9.63%,8.85%,2.97%,7.56%,0.02%
31-Aug,0.75%,0.39%,1.04%,1.76%,-1.56%,-0.58%,1.37%,2.30%,1.15%,1.75%,1.90%,0.15%,2.03%,4.13%,-1.47%,5.44%,-0.36%,6.31%,3.94%,-3.26%,2.07%,5.23%,2.87%,4.86%,-0.29%,3.61%,0.02%
30-Sep,2.35%,0.24%,1.05%,2.14%,-1.69%,1.57%,3.22%,3.76%,1.69%,2.45%,4.92%,1.96%,5.98%,3.99%,7.22%,3.83%,9.08%,4.64%,-1.72%,8.84%,4.25%,3.86%,5.77%,5.67%,5.94%,3.73%,0.02%
30-Oct,-1.56%,0.22%,0.49%,0.47%,-1.66%,3.28%,-0.72%,0.54%,-0.04%,1.26%,0.15%,1.87%,1.79%,-1.78%,-5.17%,-1.25%,0.12%,-1.16%,-2.51%,-0.53%,-1.35%,-3.06%,-6.79%,-4.40%,3.75%,-1.86%,0.01%
30-Nov,1.26%,0.61%,1.29%,2.55%,-0.58%,3.52%,1.57%,1.26%,0.80%,0.61%,1.05%,2.65%,1.01%,4.09%,7.39%,2.00%,4.30%,2.90%,-1.03%,2.69%,6.14%,5.64%,3.14%,4.83%,12.83%,6.00%,0.01%
31-Dec,-0.04%,-0.80%,-1.56%,-3.76%,1.15%,1.98%,2.07%,2.36%,0.81%,2.05%,0.32%,-2.75%,3.13%,1.80%,3.10%,1.44%,3.95%,1.51%,0.77%,4.35%,3.09%,1.77%,8.05%,5.70%,-7.01%,1.93%,0.00%
29-Jan,0.57%,0.77%,1.53%,0.41%,0.80%,-7.28%,-1.27%,0.69%,-0.12%,1.53%,0.37%,2.05%,1.52%,-4.13%,-7.42%,-4.41%,-5.58%,-5.91%,1.90%,-6.04%,-4.36%,-2.81%,-3.68%,-3.34%,-1.44%,-3.60%,0.01%
26-Feb,0.95%,0.19%,0.37%,0.07%,2.27%,3.71%,0.92%,0.81%,0.12%,0.56%,1.42%,-1.81%,0.15%,1.41%,5.75%,-0.69%,0.35%,-1.99%,1.12%,0.50%,3.44%,3.16%,4.50%,5.00%,3.37%,3.10%,0.00%
31-Mar,-0.57%,-0.26%,-0.12%,-0.76%,-0.40%,-1.24%,3.15%,3.04%,1.56%,1.62%,2.33%,-0.79%,3.10%,6.19%,8.26%,6.24%,8.07%,6.48%,4.99%,7.24%,5.78%,6.51%,8.14%,7.07%,-0.39%,6.03%,0.01%
30-Apr,0.92%,0.28%,1.04%,0.02%,0.24%,1.94%,1.19%,1.74%,0.87%,1.39%,0.76%,3.26%,2.24%,0.01%,1.42%,-1.81%,1.21%,-2.71%,-0.16%,2.06%,1.12%,2.59%,5.66%,3.76%,5.91%,1.58%,0.01%
31-May,0.74%,0.46%,0.84%,-1.56%,4.11%,-6.92%,-4.05%,-2.66%,-2.30%,-1.79%,-1.58%,0.38%,-3.52%,-9.58%,-6.88%,-11.51%,-8.80%,-12.17%,-8.09%,-8.39%,-7.63%,-8.22%,-7.59%,-7.35%,3.16%,-7.99%,0.02%
30-Jun,0.20%,0.47%,1.57%,1.53%,0.72%,0.32%,-1.85%,-1.09%,-1.02%,0.37%,2.01%,1.92%,1.30%,-3.43%,-5.22%,-1.00%,-0.73%,-0.74%,-2.01%,1.70%,-5.51%,-5.63%,-7.75%,-6.25%,2.14%,-5.23%,0.01%
30-Jul,1.31%,0.27%,1.07%,3.40%,-2.90%,6.77%,2.36%,1.97%,0.64%,1.70%,4.12%,0.35%,3.47%,8.11%,7.13%,9.48%,8.33%,11.64%,3.56%,5.79%,7.13%,6.77%,6.87%,7.19%,-4.94%,7.01%,0.02%
31-Aug,1.91%,0.20%,1.29%,1.39%,-1.07%,-2.55%,-1.37%,-0.38%,0.15%,0.82%,2.33%,1.71%,0.16%,-3.73%,-1.95%,-3.10%,-1.94%,-3.68%,-2.28%,-1.14%,-4.67%,-4.28%,-7.40%,-4.40%,5.62%,-4.51%,0.01%
30-Sep,-0.39%,0.17%,0.11%,2.35%,-1.26%,7.26%,4.74%,2.52%,1.99%,1.63%,1.68%,2.18%,2.97%,9.32%,7.76%,9.80%,11.11%,10.99%,4.58%,11.32%,10.65%,7.76%,12.46%,10.58%,4.90%,8.92%,0.01%
29-Oct,-0.23%,0.23%,0.36%,1.26%,-3.58%,4.98%,2.37%,1.86%,1.39%,1.56%,1.72%,2.57%,2.43%,3.73%,3.11%,3.61%,2.90%,4.33%,2.04%,2.63%,4.78%,3.00%,4.09%,3.87%,3.89%,3.80%,0.01%
30-Nov,-1.20%,-0.19%,-0.57%,-3.81%,0.73%,-0.35%,0.64%,0.26%,-0.02%,0.46%,-3.18%,-1.92%,-1.12%,-2.16%,1.02%,-4.81%,-2.64%,-7.59%,2.10%,-1.47%,1.16%,-0.53%,3.47%,1.82%,1.97%,0.01%,0.01%
31-Dec,-1.25%,-0.20%,-1.08%,1.31%,1.32%,10.69%,3.52%,2.67%,2.17%,1.07%,-0.33%,-2.28%,1.76%,7.35%,7.67%,8.10%,7.14%,8.39%,7.62%,5.53%,5.51%,7.89%,7.94%,6.92%,2.54%,6.68%,0.02%
31-Jan,-0.38%,0.16%,0.12%,0.18%,-1.17%,1.00%,0.42%,1.68%,0.26%,1.15%,-0.54%,0.17%,2.10%,2.26%,0.40%,2.36%,-2.71%,3.94%,0.13%,-0.98%,2.54%,2.26%,-0.26%,2.13%,-6.24%,2.37%,0.01%
28-Feb,1.29%,-0.09%,0.25%,0.59%,-1.30%,1.32%,1.30%,1.36%,0.89%,0.91%,0.29%,0.62%,1.34%,3.50%,7.27%,3.30%,-0.93%,3.28%,4.56%,-3.87%,3.27%,3.69%,5.48%,3.80%,5.90%,3.43%,0.02%
31-Mar,-0.13%,-0.05%,0.06%,0.47%,-1.66%,2.06%,0.50%,0.36%,-0.07%,0.29%,1.27%,0.88%,0.42%,-0.99%,-0.04%,-2.24%,5.88%,-0.83%,-9.19%,6.28%,0.12%,0.40%,2.59%,1.53%,1.48%,0.04%,0.02%
29-Apr,1.47%,0.44%,1.27%,3.10%,-1.79%,3.46%,1.34%,1.19%,1.11%,0.83%,1.39%,3.14%,1.52%,4.25%,1.17%,5.98%,3.10%,8.00%,0.36%,3.78%,3.35%,2.66%,2.64%,2.99%,9.18%,2.96%,0.01%
31-May,1.20%,0.37%,1.31%,-0.08%,0.15%,-5.06%,-1.28%,-0.47%,-0.99%,0.10%,1.47%,0.60%,0.49%,-2.07%,-3.06%,-2.95%,-2.62%,-3.30%,-1.63%,-1.34%,-1.09%,-1.06%,-1.87%,-0.42%,-1.79%,-1.13%,0.01%
30-Jun,0.18%,0.02%,-0.29%,0.08%,-0.12%,-5.04%,-1.26%,-1.02%,-1.30%,-0.25%,1.12%,1.11%,-1.00%,-1.58%,-2.86%,-1.25%,-1.54%,-1.92%,1.46%,-2.32%,-1.43%,-2.05%,-2.31%,-2.09%,-2.31%,-1.67%,0.01%
29-Jul,0.87%,0.28%,1.59%,2.06%,-0.63%,2.96%,-0.33%,-0.19%,0.34%,0.00%,1.95%,4.37%,1.24%,-1.81%,-2.15%,-1.59%,-0.44%,-3.39%,3.54%,1.14%,-1.00%,-3.32%,-3.61%,-3.63%,8.46%,-2.03%,-0.01%
31-Aug,1.55%,0.35%,1.46%,1.27%,-0.05%,1.00%,-4.89%,-3.72%,-2.45%,-2.17%,0.53%,2.00%,-4.01%,-7.05%,-3.56%,-9.03%,-8.94%,-10.02%,-8.13%,-9.89%,-5.28%,-6.24%,-8.70%,-6.88%,12.20%,-5.43%,0.01%
30-Sep,0.40%,-0.14%,0.73%,-2.31%,3.09%,-14.73%,-6.04%,-3.94%,-2.27%,-1.68%,-4.20%,0.23%,-3.59%,-8.64%,-14.13%,-9.53%,-14.58%,-10.98%,-1.65%,-13.18%,-7.37%,-7.56%,-11.21%,-9.63%,-11.05%,-7.03%,0.00%
31-Oct,-0.39%,0.08%,0.11%,1.33%,0.61%,6.62%,4.91%,3.03%,0.76%,1.27%,4.51%,1.15%,5.96%,10.34%,10.42%,9.64%,13.25%,12.10%,-0.25%,12.01%,10.97%,11.45%,15.14%,13.01%,5.60%,10.93%,0.01%
30-Nov,0.74%,0.06%,-0.09%,-1.75%,0.89%,-2.22%,-2.02%,-1.18%,-0.84%,-0.59%,-0.59%,1.14%,-2.21%,-2.44%,-2.71%,-4.85%,-6.66%,-4.51%,-4.42%,-8.32%,-0.01%,-0.52%,-0.36%,-0.50%,1.85%,-0.22%,0.00%
30-Dec,1.69%,0.05%,1.10%,0.67%,1.41%,-3.75%,-0.91%,-0.21%,-0.49%,0.38%,1.18%,0.36%,2.48%,-0.06%,-2.24%,-0.95%,-1.21%,-1.55%,0.83%,0.59%,-0.32%,2.02%,0.66%,-0.12%,-10.39%,1.02%,0.00%
31-Jan,1.61%,0.12%,0.88%,1.67%,0.19%,2.47%,3.88%,2.53%,1.57%,1.97%,1.76%,2.87%,2.90%,5.02%,5.92%,5.33%,11.34%,4.69%,4.52%,10.76%,5.97%,3.78%,7.07%,6.06%,11.05%,4.48%,0.00%
29-Feb,0.02%,-0.15%,-0.02%,-0.07%,-1.47%,2.70%,2.89%,1.86%,1.32%,1.58%,2.95%,-0.36%,2.28%,4.88%,3.55%,5.74%,5.99%,6.33%,5.05%,6.00%,4.78%,3.99%,2.39%,4.15%,-2.36%,4.32%,0.00%
30-Mar,-0.75%,-0.06%,-0.55%,-0.72%,0.93%,-4.14%,0.01%,0.39%,0.14%,0.52%,0.09%,-0.82%,-0.09%,1.29%,-3.01%,-0.46%,-3.34%,-0.59%,1.34%,-3.14%,3.29%,2.96%,2.56%,2.24%,-1.69%,3.29%,0.01%
30-Apr,1.06%,0.22%,1.11%,1.18%,-0.18%,-0.42%,-0.82%,-0.33%,-0.28%,0.29%,1.76%,2.23%,1.02%,-1.14%,0.49%,-1.96%,-1.20%,-2.29%,-3.19%,0.04%,-0.15%,-1.02%,-1.54%,-0.33%,-0.20%,-0.63%,0.01%
31-May,0.58%,0.04%,0.90%,-1.03%,1.53%,-9.13%,-4.71%,-2.33%,-1.19%,-1.05%,-2.77%,2.42%,-1.21%,-8.63%,-10.75%,-11.48%,-11.21%,-12.26%,-8.93%,-9.58%,-6.41%,-5.86%,-6.62%,-6.71%,-6.26%,-6.01%,0.01%
29-Jun,-0.11%,-0.06%,0.04%,0.48%,1.50%,5.49%,0.92%,0.18%,-0.41%,0.88%,3.57%,-0.16%,2.03%,5.10%,2.85%,7.01%,3.86%,7.93%,5.14%,3.01%,2.72%,4.96%,4.99%,2.81%,2.37%,4.12%,0.01%
31-Jul,1.22%,0.24%,1.38%,1.16%,0.27%,6.47%,0.28%,0.47%,0.90%,1.20%,4.00%,1.79%,1.92%,1.29%,2.18%,1.13%,1.95%,1.13%,-2.39%,2.61%,1.34%,1.03%,-1.38%,0.23%,1.07%,1.39%,0.01%
31-Aug,0.02%,0.00%,0.07%,0.86%,-1.29%,1.30%,1.18%,1.14%,0.66%,1.05%,1.16%,-0.24%,1.21%,2.54%,4.25%,2.69%,-0.33%,4.41%,-0.73%,-0.52%,2.69%,2.17%,3.33%,3.15%,4.79%,2.25%,0.01%
28-Sep,0.56%,0.01%,0.14%,1.22%,-2.25%,1.71%,1.96%,1.28%,0.65%,1.31%,1.47%,0.72%,1.42%,2.75%,3.68%,2.96%,6.03%,2.95%,2.33%,7.04%,1.96%,3.17%,3.28%,2.12%,4.75%,2.58%,0.01%
31-Oct,0.18%,-0.06%,0.20%,-0.14%,0.16%,-3.87%,-0.25%,0.43%,-0.21%,0.65%,0.82%,0.75%,0.82%,-0.68%,-0.37%,0.83%,-0.61%,1.45%,-1.87%,-0.27%,-2.92%,-0.49%,-2.17%,-1.01%,-2.91%,-1.85%,0.01%
30-Nov,1.24%,0.09%,0.16%,-0.01%,1.24%,0.05%,0.45%,1.02%,0.45%,0.56%,1.55%,0.71%,0.74%,1.28%,-0.48%,2.42%,1.27%,2.60%,2.37%,2.76%,1.67%,-0.04%,0.53%,1.64%,-0.33%,0.58%,0.01%
31-Dec,-0.97%,0.03%,-0.14%,-0.33%,-0.66%,-2.61%,1.64%,1.99%,1.13%,1.18%,0.93%,-1.08%,1.59%,1.88%,1.53%,3.20%,4.89%,2.81%,5.30%,3.13%,-0.03%,2.07%,3.56%,2.25%,-2.31%,0.91%,0.01%
31-Jan,0.25%,0.02%,-0.70%,-0.91%,0.60%,2.40%,3.34%,2.29%,2.05%,1.77%,-1.42%,-0.94%,1.38%,5.09%,1.81%,5.27%,1.38%,5.85%,3.67%,1.66%,4.29%,6.50%,6.26%,6.84%,-0.70%,5.18%,0.00%
28-Feb,0.33%,0.08%,0.50%,-0.95%,1.35%,-4.09%,0.32%,0.36%,0.26%,0.39%,-0.14%,0.52%,0.46%,0.17%,-1.43%,-0.95%,-1.26%,-2.77%,2.67%,-0.11%,1.24%,1.44%,1.10%,1.41%,-5.05%,1.36%,0.00%
29-Mar,-0.23%,0.02%,0.08%,-0.25%,2.22%,0.67%,1.22%,1.00%,0.93%,0.88%,-0.75%,0.38%,1.03%,2.34%,0.52%,0.82%,-1.72%,-0.21%,4.88%,-1.98%,3.75%,3.96%,4.62%,4.25%,1.13%,3.75%,0.02%
30-Apr,0.89%,0.10%,1.01%,1.39%,-0.06%,-2.79%,0.37%,0.99%,0.86%,1.06%,2.83%,0.76%,1.86%,3.15%,-1.48%,5.21%,0.75%,4.34%,8.77%,1.76%,2.12%,1.51%,-0.37%,1.28%,-7.56%,1.93%,0.01%
31-May,-1.09%,-0.15%,-1.78%,-2.97%,0.92%,-2.24%,1.22%,1.84%,0.62%,0.06%,-3.81%,-5.21%,-0.53%,0.04%,-0.53%,-2.41%,-2.57%,0.18%,-5.66%,-1.27%,1.86%,2.57%,4.00%,2.15%,-6.02%,2.34%,0.01%
28-Jun,-2.08%,-0.06%,-1.55%,-1.18%,-0.94%,-4.71%,-1.64%,-1.03%,-1.31%,-1.19%,-5.03%,-5.49%,-2.64%,-2.46%,-5.59%,-3.55%,-6.37%,-4.83%,1.75%,-5.72%,-1.88%,-0.88%,-0.51%,-1.21%,-11.04%,-1.34%,0.00%
31-Jul,-0.20%,0.16%,0.14%,1.26%,1.28%,1.36%,2.27%,1.39%,0.92%,0.57%,0.95%,0.30%,1.88%,5.26%,5.74%,5.28%,1.04%,7.36%,0.60%,1.83%,5.30%,5.40%,7.00%,5.80%,7.33%,5.09%,0.01%
30-Aug,-0.86%,-0.10%,-0.51%,-0.52%,-1.17%,3.40%,-0.85%,-0.24%,-0.70%,-0.11%,-2.68%,-1.05%,-0.62%,-2.13%,-0.95%,-1.32%,-1.72%,-1.28%,-2.15%,-1.51%,-1.71%,-3.79%,-3.18%,-2.66%,5.30%,-2.90%,0.01%
30-Sep,1.66%,0.23%,0.95%,2.06%,-0.40%,-2.55%,2.66%,1.54%,1.21%,1.10%,2.67%,1.70%,0.99%,5.00%,3.91%,7.39%,6.50%,7.19%,8.35%,5.42%,4.46%,2.51%,6.38%,4.58%,-4.75%,3.14%,0.00%
31-Oct,0.73%,0.10%,0.81%,0.98%,-1.26%,-1.48%,2.01%,1.51%,1.21%,1.10%,2.67%,0.92%,2.46%,3.91%,3.28%,3.36%,4.86%,4.28%,0.00%,4.38%,4.42%,4.38%,2.51%,3.53%,-0.45%,4.60%,0.00%
29-Nov,-0.23%,0.10%,-0.37%,-0.82%,1.31%,-0.80%,1.20%,1.04%,1.16%,0.48%,-2.28%,-1.53%,0.47%,1.78%,-0.91%,0.77%,-1.46%,1.18%,1.49%,0.17%,2.82%,2.79%,4.01%,1.66%,-5.27%,3.05%,0.01%
31-Dec,-0.16%,-0.14%,-0.57%,-0.60%,0.22%,1.24%,1.41%,1.19%,1.52%,0.77%,0.58%,-2.09%,0.55%,2.12%,1.61%,1.50%,-1.45%,2.24%,0.80%,-1.09%,2.86%,2.53%,1.97%,2.98%,-4.13%,2.53%,0.01%
14-Jan,1.47%,0.16%,1.48%,1.06%,1.16%,0.30%,-0.98%,0.00%,-0.47%,0.60%,-1.02%,3.24%,0.74%,-3.70%,-4.14%,-4.03%,-6.49%,-3.86%,-3.86%,-5.00%,-2.85%,-3.55%,-2.77%,-1.95%,3.57%,-3.46%,0.00%
14-Feb,0.94%,0.09%,0.53%,1.40%,-0.18%,6.24%,2.54%,1.87%,1.57%,1.24%,3.24%,0.22%,2.00%,5.01%,4.43%,5.56%,3.31%,7.30%,-0.54%,3.46%,5.15%,4.32%,4.71%,5.87%,6.58%,4.57%,0.01%
14-Mar,-0.16%,-0.11%,-0.17%,-0.07%,-0.43%,0.41%,-0.42%,0.11%,-0.61%,0.47%,1.26%,-0.61%,0.23%,0.14%,1.46%,-0.64%,3.07%,-1.02%,-1.29%,1.00%,-1.01%,2.39%,-0.68%,-0.27%,-3.20%,0.84%,0.01%
14-Apr,1.00%,0.13%,0.84%,1.13%,-0.35%,2.44%,-0.73%,0.06%,-0.68%,0.58%,1.56%,1.77%,0.69%,1.02%,2.91%,1.45%,0.33%,2.49%,-2.58%,0.72%,0.00%,0.95%,-3.88%,-0.57%,0.59%,0.74%,0.00%
14-May,0.91%,0.19%,1.14%,0.59%,-0.17%,-2.87%,1.12%,0.92%,1.19%,0.85%,3.19%,2.88%,1.01%,1.97%,0.78%,1.62%,3.49%,0.89%,4.04%,4.04%,3.12%,1.46%,0.80%,2.22%,-3.25%,2.35%,0.00%
14-Jun,0.01%,-0.05%,0.05%,0.73%,0.30%,0.60%,1.73%,1.32%,1.01%,0.97%,0.59%,0.32%,0.85%,1.79%,5.95%,0.96%,2.66%,-0.10%,5.23%,2.33%,1.95%,2.61%,5.32%,3.29%,6.21%,2.07%,0.01%
14-Jul,0.19%,-0.08%,-0.25%,-0.90%,-0.16%,-4.98%,-0.97%,-0.64%,-0.43%,-0.05%,0.12%,0.02%,-1.32%,-1.60%,-0.08%,-1.96%,1.93%,-3.78%,0.58%,3.77%,-1.53%,-1.70%,-6.05%,-2.95%,-3.37%,-1.38%,0.01%
